Tanggal;Banten;Jawa Barat;DKI Jakarta;Jawa Tengah;DI Yogyakarta;Jawa Timur;;
05/01/2021;11100;11200;13450;10950;11400;10500;;
06/01/2021;11100;11200;13450;10950;11400;10500;;
07/01/2021;11100;11200;13450;10950;11400;10500;;
08/01/2021;11100;11200;13450;10950;11400;10500;;
11/01/2021;11100;11200;13450;10950;11400;10500;;
12/01/2021;11100;11200;13450;10950;11400;10500;;
13/01/2021;11100;11200;13450;10950;11400;10500;;
14/01/2021;11100;11200;13450;10950;11400;10500;;
15/01/2021;11100;11200;13450;10950;11400;10500;;
18/01/2021;11100;11200;13450;10950;11400;10500;;
19/01/2021;11100;11200;13450;10950;11400;10500;;
20/01/2021;11100;11200;13450;10950;11400;10500;;
21/01/2021;11100;11200;13450;10950;11400;10500;;
22/01/2021;11100;11200;13450;10950;11400;10500;;
25/01/2021;11100;11200;13450;10950;11400;10500;;
26/01/2021;11100;11200;13450;10900;11400;10500;;
27/01/2021;11100;11200;13450;10900;11400;10500;;
28/01/2021;11100;11200;13450;10950;11400;10500;;
29/01/2021;11100;11200;13450;10950;11400;10500;;
01/02/2021;11100;11200;13450;10950;11400;10500;;
02/02/2021;11100;11200;13450;10950;11400;10500;;
03/02/2021;11100;11200;13450;10950;11400;10500;;
04/02/2021;11100;11200;13450;10950;11400;10500;;
05/02/2021;11100;11200;13450;11200;11400;10500;;
08/02/2021;11100;11200;13450;11200;11400;10450;;
09/02/2021;11100;11200;13450;11200;11400;10450;;
10/02/2021;11100;11200;13450;11200;11400;10450;;
11/02/2021;11100;11200;13450;10950;11400;10450;;
12/02/2021;0;0;0;0;0;0;;
15/02/2021;11100;11200;13450;10950;11400;10450;;
16/02/2021;11100;11200;13450;10950;11400;10450;;
17/02/2021;11100;11200;13450;10950;11400;10450;;
18/02/2021;11100;11200;13450;10950;11400;10450;;
19/02/2021;11100;11200;13450;10950;11400;10450;;
22/02/2021;11100;11200;13450;10950;11400;10450;;
23/02/2021;11100;11200;13450;10950;11400;10450;;
24/02/2021;11100;11200;13450;11300;11400;10450;;
25/02/2021;11100;11200;13450;10950;11400;10450;;
26/02/2021;11100;11200;13450;10950;11400;10450;;
01/03/2021;11100;11200;13450;10950;11400;10450;;
02/03/2021;11100;11200;13450;10950;11400;10450;;
03/03/2021;11100;11200;13450;10950;11400;10450;;
04/03/2021;11100;11200;13450;10950;11400;10450;;
05/03/2021;11100;11200;13450;10950;11400;10450;;
08/03/2021;11100;11200;13450;10950;11400;10450;;
09/03/2021;11100;11200;13450;10950;11400;10450;;
10/03/2021;11100;11200;13450;10950;11400;10450;;
11/03/2021;0;0;0;0;0;0;;
12/03/2021;11100;11200;13400;10900;11400;10450;;
15/03/2021;11100;11200;13400;10900;11400;10450;;
16/03/2021;11100;11200;13400;10900;11400;10400;;
17/03/2021;11100;11200;13400;10900;11400;10400;;
18/03/2021;11100;11200;13400;10900;11400;10400;;
19/03/2021;11100;11200;13400;10900;11400;10400;;
22/03/2021;11050;11200;13400;10900;11400;10400;;
23/03/2021;11000;11200;13400;10900;11400;10400;;
24/03/2021;11000;11200;13400;10900;11400;10400;;
25/03/2021;11000;11200;13400;10900;11400;10400;;
26/03/2021;11000;11200;13400;10850;11400;10450;;
29/03/2021;11000;11200;13400;10850;11400;10400;;
30/03/2021;11000;11200;13400;10850;11400;10350;;
31/03/2021;11000;11200;13350;10900;11400;10350;;
01/04/2021;11000;11200;13350;10900;11400;10350;;
02/04/2021;0;0;0;0;0;0;;
05/04/2021;11000;11200;13350;10850;11400;10350;;
06/04/2021;11000;11200;13350;10850;11400;10350;;
07/04/2021;11000;11200;13350;10850;11400;10350;;
08/04/2021;11000;11200;13350;10850;11400;10350;;
09/04/2021;11000;11200;13350;10850;11400;10350;;
12/04/2021;11000;11200;13350;10850;11400;10350;;
13/04/2021;11000;11200;13350;10850;11400;10350;;
14/04/2021;11000;11200;13450;10850;11400;10350;;
15/04/2021;11000;11200;13450;10800;11400;10350;;
16/04/2021;11000;11200;13450;10800;11400;10350;;
19/04/2021;11000;11200;13450;10800;11150;10350;;
20/04/2021;11000;11200;13450;10800;11150;10350;;
21/04/2021;11000;11200;13450;10800;11150;10350;;
22/04/2021;11000;11200;13450;10800;11150;10350;;
23/04/2021;11000;11200;13450;10800;11150;10350;;
26/04/2021;11000;11200;13450;10800;11150;10350;;
27/04/2021;11000;11200;13450;10800;11150;10350;;
28/04/2021;11000;11200;13450;10800;11150;10350;;
29/04/2021;11000;11200;13400;10800;11150;10350;;
30/04/2021;11000;11200;13400;10800;11150;10350;;
03/05/2021;11000;11200;13400;10800;11150;10350;;
04/05/2021;11000;11200;13400;10800;11150;10350;;
05/05/2021;11000;11200;13400;10800;11150;10350;;
06/05/2021;11000;11200;13400;10850;11150;10350;;
07/05/2021;11000;11200;13400;10850;11150;10350;;
10/05/2021;11000;11200;13400;10850;11150;10350;;
11/05/2021;11000;11200;13400;10850;11150;10350;;
12/05/2021;0;0;0;0;0;0;;
13/05/2021;0;0;0;0;0;0;;
14/05/2021;0;0;0;0;0;0;;
17/05/2021;11000;11200;13400;10850;11150;10350;;
18/05/2021;11000;11200;13400;10850;11150;10350;;
19/05/2021;11000;11200;13400;10850;11150;10350;;
20/05/2021;11000;11200;13400;10850;11150;10350;;
21/05/2021;11000;11200;13400;10850;11150;10350;;
24/05/2021;11000;11200;13400;10850;11150;10350;;
25/05/2021;11000;11200;13400;10850;11150;10350;;
